line_id,plant_id,line_name,product_type,capacity_per_hour,status,last_maintenance,next_maintenance,efficiency_rate,setup_time_minutes
LINE001,PLT001,Assembly Line A,engine,120,running,2024-01-10,2024-02-10,94.5,45
LINE002,PLT001,Assembly Line B,transmission,85,running,2024-01-15,2024-02-15,92.8,60
LINE003,PLT001,CNC Machining,components,200,running,2024-01-12,2024-02-12,96.2,30
LINE004,PLT002,Electronics Assembly,sensors,350,running,2024-01-08,2024-02-08,91.5,25
LINE005,PLT002,PCB Manufacturing,circuit_boards,500,maintenance,2024-01-20,2024-01-22,89.0,35
LINE006,PLT003,Body Stamping,body_panels,150,running,2024-01-14,2024-02-14,93.8,90
LINE007,PLT003,Paint Line,painted_parts,100,running,2024-01-16,2024-02-16,88.5,120
LINE008,PLT004,Wire Harness,wiring,400,running,2024-01-11,2024-02-11,95.0,20
LINE009,PLT004,Plastic Injection,plastic_parts,600,running,2024-01-18,2024-02-18,94.2,40
LINE010,PLT005,Precision Assembly,precision_parts,80,running,2024-01-13,2024-02-13,97.5,55
LINE011,PLT006,Mass Production A,general_parts,800,running,2024-01-09,2024-02-09,90.8,25
LINE012,PLT006,Mass Production B,general_parts,750,running,2024-01-17,2024-02-17,91.2,25
