camp_id,campaign_name,parent_campaign_id,campaign_hierarchy_level,target_segment_ids,target_segment_count,channel_ids,primary_channel,channel_count,audience_list_ids,exclude_audience_ids,agency_ids,lead_agency,influencer_ids,influencer_count,featured_product_ids,excluded_product_ids,media_deal_ids,owning_team_id,secondary_team_ids,related_campaign_ids,competing_campaign_ids,creative_asset_ids,hero_creative_id,campaign_type,campaign_objective,start_date,end_date,status,ch_google_ads_on,ch_google_ads_budget_pct,ch_google_ads_priority,ch_meta_ads_on,ch_meta_ads_budget_pct,ch_meta_ads_priority,ch_tiktok_ads_on,ch_tiktok_ads_budget_pct,ch_tiktok_ads_priority,ch_naver_ads_on,ch_naver_ads_budget_pct,ch_naver_ads_priority,ch_kakao_moment_on,ch_kakao_moment_budget_pct,ch_kakao_moment_priority,ch_youtube_on,ch_youtube_budget_pct,ch_youtube_priority,ch_instagram_on,ch_instagram_budget_pct,ch_instagram_priority,ch_twitter_x_on,ch_twitter_x_budget_pct,ch_twitter_x_priority,ch_linkedin_on,ch_linkedin_budget_pct,ch_linkedin_priority,ch_email_on,ch_email_budget_pct,ch_email_priority,ch_sms_on,ch_sms_budget_pct,ch_sms_priority,ch_push_notification_on,ch_push_notification_budget_pct,ch_push_notification_priority,ch_display_network_on,ch_display_network_budget_pct,ch_display_network_priority,ch_native_ad_on,ch_native_ad_budget_pct,ch_native_ad_priority,ch_affiliate_on,ch_affiliate_budget_pct,ch_affiliate_priority,ch_programmatic_on,ch_programmatic_budget_pct,ch_programmatic_priority,ch_ott_ads_on,ch_ott_ads_budget_pct,ch_ott_ads_priority,ch_podcast_ads_on,ch_podcast_ads_budget_pct,ch_podcast_ads_priority,ch_influencer_on,ch_influencer_budget_pct,ch_influencer_priority,ch_offline_event_on,ch_offline_event_budget_pct,ch_offline_event_priority,target_age_min,target_age_max,target_gender,geo_서울,geo_경기,geo_부산,geo_대구,geo_인천,geo_광주,geo_대전,geo_울산,geo_세종,geo_강원,geo_충북,geo_충남,geo_전북,geo_전남,geo_경북,geo_경남,geo_제주,total_budget_krw,bid_strategy,kpi_impressions_target,kpi_impressions_actual,kpi_impressions_achievement,kpi_impressions_status,kpi_clicks_target,kpi_clicks_actual,kpi_clicks_achievement,kpi_clicks_status,kpi_conversions_target,kpi_conversions_actual,kpi_conversions_achievement,kpi_conversions_status,kpi_spend_target,kpi_spend_actual,kpi_spend_achievement,kpi_spend_status,kpi_revenue_target,kpi_revenue_actual,kpi_revenue_achievement,kpi_revenue_status,kpi_ctr_target,kpi_ctr_actual,kpi_ctr_achievement,kpi_ctr_status,kpi_cvr_target,kpi_cvr_actual,kpi_cvr_achievement,kpi_cvr_status,kpi_cpc_target,kpi_cpc_actual,kpi_cpc_achievement,kpi_cpc_status,kpi_cpa_target,kpi_cpa_actual,kpi_cpa_achievement,kpi_cpa_status,kpi_roas_target,kpi_roas_actual,kpi_roas_achievement,kpi_roas_status,kpi_cpm_target,kpi_cpm_actual,kpi_cpm_achievement,kpi_cpm_status,kpi_cpv_target,kpi_cpv_actual,kpi_cpv_achievement,kpi_cpv_status,kpi_vtr_target,kpi_vtr_actual,kpi_vtr_achievement,kpi_vtr_status,kpi_engagement_rate_target,kpi_engagement_rate_actual,kpi_engagement_rate_achievement,kpi_engagement_rate_status,kpi_bounce_rate_target,kpi_bounce_rate_actual,kpi_bounce_rate_achievement,kpi_bounce_rate_status,kpi_session_duration_target,kpi_session_duration_actual,kpi_session_duration_achievement,kpi_session_duration_status,kpi_pages_per_session_target,kpi_pages_per_session_actual,kpi_pages_per_session_achievement,kpi_pages_per_session_status,kpi_new_users_target,kpi_new_users_actual,kpi_new_users_achievement,kpi_new_users_status,kpi_returning_users_target,kpi_returning_users_actual,kpi_returning_users_achievement,kpi_returning_users_status,kpi_assisted_conversions_target,kpi_assisted_conversions_actual,kpi_assisted_conversions_achievement,kpi_assisted_conversions_status
CAMP-0001,캠페인_여름_프로모_1,,3,SEG-004|SEG-095,2,naver_ads|tiktok_ads|programmatic|kakao_moment|google_ads,naver_ads,5,AUD-053|AUD-121|AUD-068|AUD-085|AUD-183,AUD-141,AGENCY-24|AGENCY-29,AGENCY-24,INF-197|INF-218|INF-8|INF-215,4,PRD-48|PRD-164|PRD-123|PRD-121|PRD-494|PRD-290|PRD-80|PRD-300,PRD-492|PRD-95,DEAL-28|DEAL-12|DEAL-91,TEAM-20,TEAM-9,CAMP-0826|CAMP-0885|CAMP-0215|CAMP-0397|CAMP-0433,CAMP-0291|CAMP-0640,CR-896|CR-418|CR-1276|CR-1175|CR-426|CR-1203|CR-1481|CR-1473|CR-564|CR-858|CR-477|CR-55,CR-360,reactivation,catalog_sales,29-08-2023,04-05-2025,paused,,0.025,,,0.046,medium,0,0.093,critical,,0.046,,1,0.108,high,0,0.248,critical,0,0.059,high,1,0.16,,Y,0.213,critical,,0.158,critical,0,0.292,medium,N,0.218,low,0,0.062,,1,0.152,low,0,0.284,medium,N,0.076,medium,0,0.215,high,N,0.125,high,Y,0.129,high,0,0.244,high,40,45,female,0.0,,,1.0,,1.0,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,50000000,max_conversions,3322.05,109.09,2.227,exceeded,542.03,854.71,1.955,behind,193.58,312.35,2.532,on_track,355.94,428.28,1.503,초과,3093.48,47.5,2.383,behind,224.1,452.35,1.7,,2082.65,361.62,0.465,at_risk,1693.32,1234.44,1.22,미달,31.84,68.57,0.331,미달,1301.05,320.39,2.364,exceeded,74.45,1146.97,2.718,exceeded,6.34,1001.16,1.93,-,1271.09,695.45,2.432,on_track,137.32,567.72,2.148,at_risk,2852.27,3338.48,1.388,미달,265.26,2299.28,1.114,UNKNOWN,234.45,973.21,0.714,exceeded,1830.86,1036.63,0.664,,791.0,2192.3,1.983,exceeded,113.11,1152.74,0.865,at_risk
CAMP-0002,캠페인_겨울_리타겟_2,,3,SEG-032|SEG-029|SEG-018|SEG-095|SEG-014,5,native_ad|ott_ads|offline_event|push_notification|meta_ads|influencer|linkedin,native_ad,7,AUD-124|AUD-029|AUD-014|AUD-078,AUD-107|AUD-154|AUD-067,AGENCY-21,AGENCY-21,INF-183,1,PRD-61|PRD-243|PRD-96|PRD-97|PRD-344|PRD-471|PRD-467,PRD-457,DEAL-138,TEAM-21,TEAM-1|TEAM-18|TEAM-30,CAMP-0691,CAMP-0430|CAMP-0552|CAMP-0781,CR-376|CR-1367|CR-777|CR-1258|CR-772|CR-1170,CR-1196,reactivation,leads,20-04-2025,29-02-2024,진행중,0,0.129,critical,1,0.247,medium,0,0.139,critical,Y,0.261,medium,1,0.265,medium,,0.216,medium,1,0.065,high,N,0.083,,Y,0.241,medium,0,0.019,medium,,0.266,medium,0,0.168,critical,0,0.046,high,0,0.121,critical,1,0.163,,Y,0.271,medium,N,0.111,medium,0,0.148,low,1,0.21,high,,0.11,,18,35,F,1.0,,0.0,1.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000,manual_cpc,335.22,1034.52,2.089,behind,185.39,657.51,2.438,on_track,2638.99,1.59,0.691,at_risk,1312.29,372.03,2.241,exceeded,3711.16,1151.31,0.39,exceeded,1120.89,1746.47,1.894,ahead,1672.82,27.14,1.783,at_risk,1256.52,10.48,1.457,초과,8.47,329.37,0.196,초과,134.74,519.0,0.351,exceeded,2114.91,73.29,0.433,on_track,125.93,1017.57,2.812,on_track,159.5,3251.82,2.736,on_track,2186.38,1194.89,0.771,on_track,1037.81,544.43,0.271,on_track,3356.15,3609.91,2.326,at_risk,993.4,877.33,0.81,,6018.46,1340.93,0.379,behind,1574.82,51.42,1.741,-,413.74,1449.25,1.653,미달
CAMP-0003,캠페인_가을_브랜딩_3,,0,SEG-076|SEG-055,2,twitter_x|programmatic|display_network|push_notification,twitter_x,4,AUD-005|AUD-033,AUD-043,AGENCY-31,AGENCY-31,INF-240|INF-202,2,PRD-43,PRD-453,DEAL-132|DEAL-48|DEAL-81,TEAM-30,TEAM-5|TEAM-20|TEAM-19,CAMP-0467|CAMP-0318|CAMP-0045|CAMP-0931|CAMP-0222,CAMP-0712|CAMP-0413,CR-830|CR-1109|CR-342|CR-492|CR-712,CR-973,launch,,22-07-2024,10-09-2024,archived,1,0.283,low,1,0.106,critical,0,0.211,low,Y,0.254,critical,Y,0.033,medium,N,0.244,critical,1,0.117,,0,0.065,critical,0,0.068,high,1,0.003,high,Y,0.21,medium,0,0.293,high,0,0.189,critical,1,0.194,low,0,0.228,,0,0.289,low,Y,0.256,critical,1,0.148,low,,0.109,high,0,0.203,critical,40,55,F,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,5000000,target_roas,351.21,438.5,0.964,ahead,482.22,586.83,0.77,at_risk,874.14,1576.69,0.816,초과,460.6,313.93,2.501,미달,886.93,5397.17,0.531,exceeded,2286.62,782.18,2.74,on_track,218.8,2884.11,2.303,미입력,1545.38,805.62,0.343,on_track,1501.33,259.75,1.819,미달,3066.17,1073.64,0.35,초과,321.48,2805.47,1.139,,267.36,739.77,0.1,,2925.58,126.14,0.141,at_risk,1505.12,1485.18,2.749,미달,136.39,2291.83,0.147,exceeded,250.32,1127.85,1.114,ahead,859.84,2061.26,0.774,exceeded,811.35,13.35,2.066,ahead,644.42,1639.45,1.436,ahead,212.86,155.87,0.565,behind
CAMP-0004,캠페인_가을_프로모_4,CAMP-0731,2,SEG-004,1,influencer|naver_ads|native_ad|kakao_moment|linkedin,influencer,5,AUD-016,AUD-113|AUD-106|AUD-015,AGENCY-22|AGENCY-17,AGENCY-22,,0,PRD-500|PRD-447|PRD-429|PRD-408|PRD-431|PRD-125|PRD-53|PRD-43|PRD-393|PRD-250,PRD-485|PRD-10,DEAL-139|DEAL-5|DEAL-96,TEAM-22,TEAM-21|TEAM-15|TEAM-19,CAMP-0154|CAMP-0454|CAMP-0757|CAMP-0469,CAMP-0004,CR-1283|CR-1491|CR-1061,CR-104,performance,store_visit,13-01-2025,19-07-2023,ACTIVE,1,0.293,,N,0.167,high,1,0.22,,1,0.233,medium,1,0.226,critical,1,0.255,medium,,0.064,critical,1,0.245,low,N,0.296,medium,Y,0.046,high,0,0.259,low,N,0.227,high,0,0.27,low,Y,0.193,,,0.24,,1,0.058,high,Y,0.248,,,0.15,,1,0.178,,0,0.295,,20,25,M+F,1.0,,0.0,0.0,1.0,0.0,,0.0,0.0,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,500000,smart_bidding,870.7,2949.37,1.523,초과,1310.19,238.22,0.304,초과,507.32,902.71,0.135,초과,22.37,361.18,1.348,at_risk,4468.07,2084.03,1.421,at_risk,744.74,133.84,2.09,at_risk,30.93,2561.67,2.415,at_risk,57.48,101.04,2.633,미달,1605.24,282.47,2.852,on_track,1117.78,3164.65,0.986,on_track,387.05,3216.4,2.713,ahead,1612.28,2153.55,1.94,exceed_d,417.17,15.11,1.416,exceeded,249.33,2546.11,2.689,ox_track,765.03,107.17,2.024,exceeded,1183.1,2349.03,2.848,초과,1127.62,53.97,0.547,exceeded,54.82,4577.32,0.13,at_risk,2142.73,1391.12,2.523,exceeded,2927.43,161.53,2.83,미달
CAMP-0005,캠페인_겨울_신규_5,CAMP-0271,0,SEG-028|SEG-030,2,twitter_x|tiktok_ads|email|native_ad,twitter_x,4,AUD-021|AUD-148|AUD-010|AUD-159|AUD-172,AUD-070|AUD-047,AGENCY-37|AGENCY-14,AGENCY-37,INF-168|INF-42|INF-88,3,PRD-98|PRD-457|PRD-376|PRD-117|PRD-156|PRD-422|PRD-131|PRD-227,PRD-249|PRD-338,DEAL-65,TEAM-5,TEAM-8,CAMP-0681|CAMP-0276|CAMP-0013|CAMP-0936,CAMP-0293,CR-1392,CR-216,awareness,catalog_sales,28-01-2025,30-05-2025,,1,0.023,,1,0.12,low,N,0.083,high,N,0.043,critical,1,0.2,,0,0.117,critical,N,0.109,critical,0,0.176,high,0,0.166,medium,N,0.278,,0,0.211,,1,0.259,medium,1,0.255,medium,1,0.143,low,N,0.205,low,1,0.283,high,1,0.114,,Y,0.175,,0,0.241,,0,0.103,medium,20,35,M+F,0.0,,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,500000,target_cpa,1941.87,1340.87,1.001,exceeded,1140.64,302.9,2.676,UNKNOWN,86.38,233.54,1.392,미달,1722.25,422.59,0.16,behind,4.59,338.0,0.585,exceeded,343.21,136.23,2.102,on_track,8.51,96.05,1.419,exceeded,236.39,40.26,2.393,미달,310.23,1680.32,2.514,on_track,1066.33,556.96,2.799,ahead,764.91,1051.09,0.347,초과,2778.75,257.71,1.542,초과,30.34,361.21,2.386,exceeded,309.36,532.49,2.631,on_track,2956.08,2903.02,1.08,미달,722.89,8.54,2.974,ahead,176.72,3252.07,1.888,초과,1309.92,793.56,1.781,ahead,40.48,2293.23,1.417,초과,742.67,1282.55,2.697,exceeded
CAMP-0006,캠페인_겨울_브랜딩_6,CAMP-0573,0,SEG-072,1,instagram|google_ads|influencer,instagram,3,AUD-050|AUD-179,AUD-054|AUD-047|AUD-185,AGENCY-46|AGENCY-23|AGENCY-8,AGENCY-46,,0,PRD-180|PRD-124|PRD-326|PRD-229|PRD-268|PRD-285,PRD-161|PRD-490|PRD-310,DEAL-85|DEAL-3|DEAL-129|DEAL-57,TEAM-5,TEAM-25|TEAM-21|TEAM-16,CAMP-0429,CAMP-0142,CR-1322|CR-659|CR-1309|CR-153|CR-824|CR-853|CR-203|CR-391|CR-1044|CR-34|CR-1403|CR-1056|CR-944,CR-297,branding,reach,03-09-2023,18-02-2025,Draft,0,0.101,medium,1,0.19,low,1,0.247,low,Y,0.294,high,1,0.283,low,Y,0.085,,N,0.25,,0,0.297,critical,N,0.052,,0,0.188,low,1,0.052,high,0,0.006,critical,Y,0.175,low,0,0.226,low,N,0.122,critical,N,0.08,medium,,0.098,critical,1,0.19,critical,1,0.057,low,0,0.233,high,35,25,M+F,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,1.0,0.0,1.0,0.0,1.0,1000000,max_conversions,576.1,769.3,2.569,on_track,954.01,41.99,2.534,behind,381.18,615.69,1.23,behind,324.96,1450.93,1.81,on_track,1736.43,227.76,1.932,ahead,2062.2,1328.73,0.876,ahead,1956.47,4696.0,1.398,at_risk,1009.1,1433.09,1.462,exceeded,1801.47,202.02,0.832,,1455.21,61.64,2.128,behind,1751.54,2072.73,0.261,at_risk,1321.65,430.34,1.431,,58.48,2609.01,2.258,,657.12,2400.53,1.936,on_track,3118.37,319.8,2.821,at_risk,1899.98,517.43,0.407,미달,14.11,773.31,1.252,on_track,686.67,1157.24,0.433,behind,2239.71,359.53,0.509,ahead,510.77,1581.9,1.547,behind
CAMP-0007,,,1,SEG-092|SEG-084|SEG-090|SEG-070,4,ott_ads|naver_ads|offline_event|google_ads|display_network,ott_ads,5,AUD-169,AUD-036|AUD-112|AUD-196,AGENCY-11,AGENCY-11,,0,PRD-331|PRD-62|PRD-355|PRD-35|PRD-352|PRD-419,PRD-389|PRD-348|PRD-411,DEAL-45|DEAL-56,TEAM-7,TEAM-15|TEAM-29|TEAM-20,CAMP-0762,CAMP-0147|CAMP-0818,CR-264|CR-820|CR-542|CR-1184|CR-847|CR-1118|CR-229,CR-226,retention,sales,28-11-2024,30-12-2024,,1,0.208,,1,0.222,medium,0,0.261,medium,Y,0.005,low,0,0.053,critical,N,0.192,medium,,0.192,medium,N,0.029,low,0,0.296,medium,Y,0.268,low,0,0.018,high,,0.14,,Y,0.292,,N,0.096,low,0,0.239,high,1,0.272,medium,Y,0.013,medium,N,0.263,low,N,0.099,high,1,0.186,high,30,25,F,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,,0.0,0.0,1.0,0.0,1.0,,0.0,500000,target_roas,1478.1,890.69,1.26,on_track,263.55,296.14,1.591,at_risk,186.37,1484.53,1.858,behind,120.08,921.43,2.758,behind,1478.84,165.35,0.232,ahead,921.7,2261.79,0.461,미입력,617.38,743.84,2.97,미달,157.68,686.12,2.955,ahead,338.32,515.81,2.73,behind,784.67,365.9,0.998,초과,1793.64,444.66,2.692,exceeded,516.01,99.15,1.884,미달,99.85,220.03,1.403,미달,954.95,136.85,1.449,초과,3597.13,426.89,0.943,wt_risk,165.18,368.96,0.295,ahead,1956.1,1373.68,1.288,,1.57,388.65,2.042,ahead,0.01,720.92,1.885,ahead,1964.83,1412.06,0.199,on_track
CAMP-0008,캠페인_겨울_브랜딩_8,,2,SEG-029|SEG-058|SEG-076|SEG-036|SEG-001|SEG-098|SEG-021,7,instagram|sms|native_ad|push_notification|naver_ads|tiktok_ads,instagram,6,AUD-141,AUD-011|AUD-170|AUD-029,AGENCY-6|AGENCY-20|AGENCY-4,AGENCY-6,,0,PRD-212|PRD-87|PRD-184|PRD-426|PRD-57|PRD-168|PRD-41|PRD-451,PRD-280|PRD-298|PRD-90,DEAL-121|DEAL-137|DEAL-73|DEAL-58,TEAM-16,TEAM-4|TEAM-11|TEAM-12,CAMP-0863|CAMP-0583|CAMP-0619,CAMP-0403,CR-495|CR-487|CR-27|CR-1368|CR-729|CR-488|CR-274|CR-555,CR-92,branding,engagement,20-07-2025,22-01-2024,draft,N,0.123,low,,0.11,critical,,0.132,high,N,0.256,high,1,0.263,low,1,0.178,medium,1,0.082,critical,1,0.172,critical,1,0.194,,0,0.012,,1,0.001,critical,0,0.114,medium,1,0.153,high,N,0.013,low,,0.121,critical,0,0.228,high,0,0.277,low,Y,0.241,high,N,0.089,critical,1,0.061,critical,30,25,female,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000,target_roas,1786.4,553.9,2.127,on_track,529.59,1717.58,1.031,behind,1466.35,2342.8,1.468,초과,115.91,511.36,2.992,on_track,492.97,762.03,1.817,exceeded,26.42,21.77,2.059,초과,470.74,1184.98,2.372,초과,533.92,4527.82,0.567,on_track,583.5,711.16,1.816,미달,160.05,572.75,2.526,at_risk,130.46,566.15,2.152,ahead,351.2,401.0,2.091,exceeded,438.17,1491.39,2.624,-,1568.4,2808.07,2.74,at_risk,3333.49,2301.55,0.115,on_track,1466.89,1999.74,0.493,미달,715.89,210.3,1.681,초과,607.93,1287.74,2.447,on_track,3283.84,898.29,1.897,초과,1311.59,893.46,2.177,on_track
CAMP-0009,캠페인_연중_CRM_9,,2,SEG-044|SEG-036|SEG-020|SEG-028|SEG-098|SEG-014|SEG-012,7,influencer|linkedin|offline_event|native_ad,influencer,4,AUD-168|AUD-177|AUD-156|AUD-181,AUD-035|AUD-048|AUD-199,AGENCY-10,AGENCY-10,INF-149|INF-67|INF-200|INF-85,4,PRD-234|PRD-17,PRD-409|PRD-399|PRD-347,DEAL-42|DEAL-10,TEAM-10,TEAM-23,CAMP-0113|CAMP-0079|CAMP-0962,CAMP-0236,CR-334,CR-1156,reactivation,store_visit,29-07-2024,30-09-2023,Draft,N,0.267,low,1,0.222,medium,1,0.151,critical,1,0.191,medium,,0.081,low,1,0.199,high,,0.072,medium,N,0.081,medium,1,0.042,low,Y,0.114,,1,0.286,medium,N,0.071,low,0,0.199,critical,1,0.093,medium,1,0.074,medium,0,0.298,low,0,0.162,,1,0.287,high,0,0.02,critical,1,0.281,high,18,99,M+F,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,50000000,max_conversions,198.95,1537.19,0.3,ahead,876.54,135.73,1.013,exceeded,2652.9,788.28,1.362,on_track,721.92,2066.31,1.729,exceeded,232.48,1265.59,2.279,ahead,446.96,1927.38,2.54,at_risk,1325.99,1463.38,0.699,초과,81.63,552.58,2.852,초과,336.41,689.16,2.213,N/y,571.43,1054.15,1.5,초과,4268.63,989.35,2.44,초과,338.24,2243.63,0.428,미입력,748.79,2790.93,0.573,,226.07,40.66,0.538,,293.47,587.74,1.404,at_risk,116.54,251.73,1.426,on_track,197.75,532.73,2.073,on_track,1327.94,1942.8,1.322,ahead,1654.59,754.66,2.595,미달,1428.06,2737.01,2.545,ahead
CAMP-0010,캠페인_겨울_프로모_10,CAMP-0051,2,SEG-013|SEG-046|SEG-045|SEG-078|SEG-034|SEG-006|SEG-094,7,push_notification|linkedin|display_network|instagram|native_ad,push_notification,5,AUD-094|AUD-142|AUD-041|AUD-122,AUD-102,AGENCY-16|AGENCY-13|AGENCY-6,AGENCY-16,INF-71|INF-195|INF-160|INF-147|INF-54,5,PRD-188|PRD-107|PRD-308|PRD-204|PRD-150,PRD-153|PRD-276,DEAL-134|DEAL-95|DEAL-35|DEAL-116,TEAM-21,TEAM-26,CAMP-0319|CAMP-0196|CAMP-0106|CAMP-0072,CAMP-0666,CR-1406|CR-295|CR-783|CR-805|CR-1251|CR-1191|CR-749|CR-1056|CR-505|CR-545,CR-864,event,traffic,23-11-2025,25-02-2024,,1,0.068,,Y,0.038,critical,1,0.149,critical,N,0.286,medium,0,0.145,,Y,0.19,high,0,0.152,low,1,0.014,medium,1,0.101,low,0,0.038,,1,0.069,medium,1,0.227,low,1,0.231,medium,Y,0.099,high,,0.203,low,0,0.169,critical,,0.217,critical,,0.148,low,Y,0.273,,0,0.255,low,20,99,all,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,0.0,1.0,1.0,1.0,,,1.0,0.0,0.0,100000000,target_roas,513.04,3892.51,0.414,ahead,746.6,5785.95,0.124,초과,666.09,1922.19,2.393,on_track,337.72,84.81,2.82,초과,684.24,658.7,0.516,ahead,683.24,876.03,1.897,초과,191.12,1484.94,0.923,behind,663.88,242.78,2.589,초과,97.26,317.16,0.314,ahead,2101.07,234.32,2.517,at_risk,328.82,57.02,0.435,at_risk,869.93,1806.5,0.147,ahead,81.35,3115.22,0.291,미달,1403.74,125.74,0.104,behind,3698.4,102.72,2.723,exceeded,1892.99,246.72,0.714,초과,874.7,1510.44,1.014,초과,1447.13,152.81,0.675,exceeded,92.3,1606.67,0.881,at_risk,4181.23,143.74,2.867,behind
