id,name,grade,math,english,science,attendance,study_hours,private_tutoring,parent_income_level,club_activity,sleep_hours
1,학생001,3,37,32,40,80,4,No,High,No,7
2,학생002,3,45,51,52,74,4,No,Mid,Yes,6
3,학생003,2,53,68,58,83,6,Yes,Mid,Yes,8
4,학생004,3,62,64,60,87,7,Yes,High,Yes,8
5,학생005,1,20,22,31,79,4,No,Low,Yes,7
6,학생006,3,26,16,31,66,2,No,Mid,Yes,7
7,학생007,1,46,54,47,79,5,Yes,High,Yes,8
8,학생008,2,31,18,26,60,1,No,Low,Yes,7
9,학생009,1,69,58,63,84,6,Yes,Mid,No,7
10,학생010,3,12,23,18,68,1,No,Low,No,7
11,학생011,2,57,39,57,75,5,Yes,Mid,No,7
12,학생012,2,87,88,78,100,10,Yes,High,Yes,8
13,학생013,2,72,79,70,84,6,Yes,Mid,No,7
14,학생014,3,47,32,56,81,4,Yes,High,No,7
15,학생015,2,28,33,32,83,5,No,Mid,No,6
16,학생016,3,59,55,62,75,5,Yes,High,Yes,8
17,학생017,2,16,14,15,70,2,No,Mid,No,6
18,학생018,3,28,21,27,68,2,Yes,Mid,No,7
19,학생019,3,10,10,19,65,1,No,Low,No,5
20,학생020,1,75,83,81,86,7,Yes,High,Yes,7
21,학생021,3,32,25,27,78,4,No,Low,No,5
22,학생022,3,54,62,62,86,6,No,Mid,No,7
23,학생023,3,61,68,58,89,8,Yes,High,Yes,9
24,학생024,1,89,91,77,95,8,Yes,High,Yes,7
25,학생025,2,12,24,11,75,3,No,Low,No,4
26,학생026,2,80,80,97,91,9,Yes,High,Yes,8
27,학생027,3,69,60,50,83,5,Yes,Mid,No,8
28,학생028,2,52,43,51,71,4,Yes,High,Yes,9
29,학생029,2,10,10,10,64,0,No,Low,Yes,5
30,학생030,1,42,53,51,73,4,No,Low,No,6
31,학생031,3,31,38,26,74,4,Yes,Mid,Yes,8
32,학생032,2,31,33,21,77,3,No,Low,No,7
33,학생033,2,10,12,15,62,0,No,Low,No,7
34,학생034,1,60,78,70,90,7,Yes,High,Yes,9
35,학생035,2,34,25,25,68,3,No,Mid,No,8
36,학생036,2,15,27,18,63,1,Yes,Low,Yes,7
37,학생037,2,54,64,75,93,7,Yes,Mid,Yes,8
38,학생038,1,10,14,10,56,0,No,Low,No,5
39,학생039,2,39,40,39,73,4,Yes,High,Yes,7
40,학생040,1,59,41,60,85,5,No,High,Yes,7
41,학생041,2,93,88,81,92,9,Yes,High,Yes,7
42,학생042,2,32,44,26,74,4,No,Mid,Yes,6
43,학생043,3,86,82,87,100,10,Yes,High,Yes,9
44,학생044,1,10,14,10,60,0,No,Low,Yes,5
45,학생045,3,62,59,81,86,7,Yes,Mid,Yes,6
46,학생046,1,70,70,69,84,7,No,Mid,No,8
47,학생047,3,46,33,32,80,4,Yes,High,No,8
48,학생048,3,57,56,57,86,6,Yes,High,No,9
49,학생049,1,49,46,50,83,7,No,Mid,Yes,8
50,학생050,2,85,88,80,100,10,Yes,High,No,9
51,학생051,2,90,100,94,98,9,Yes,High,No,9
52,학생052,1,14,23,16,63,2,Yes,Mid,Yes,8
53,학생053,2,10,10,10,60,0,No,Low,Yes,7
54,학생054,1,58,66,70,94,8,Yes,High,No,9
55,학생055,2,49,57,60,82,5,Yes,Mid,Yes,6
56,학생056,2,13,21,11,81,4,No,Low,No,5
57,학생057,1,59,65,76,83,7,Yes,Mid,No,7
58,학생058,1,50,56,51,79,4,Yes,High,Yes,7
59,학생059,2,10,10,10,60,0,No,Low,No,7
60,학생060,2,61,59,61,80,6,Yes,High,Yes,8
61,학생061,1,60,58,63,76,5,Yes,Mid,Yes,6
62,학생062,3,48,52,46,84,7,No,Mid,No,8
63,학생063,2,54,49,61,90,7,No,Mid,Yes,7
64,학생064,3,10,10,10,65,0,Yes,Low,Yes,5
65,학생065,3,10,23,17,65,2,No,Mid,Yes,6
66,학생066,2,27,19,28,72,3,Yes,Low,Yes,4
67,학생067,1,54,57,44,75,3,Yes,Mid,Yes,6
68,학생068,1,72,55,74,80,5,Yes,Mid,Yes,6
69,학생069,2,53,50,45,84,6,No,Mid,Yes,7
70,학생070,1,58,49,47,79,5,Yes,Mid,Yes,8
71,학생071,3,10,10,11,68,1,No,Low,No,7
72,학생072,3,90,84,74,95,8,Yes,High,Yes,7
73,학생073,2,11,12,10,64,1,Yes,Low,Yes,5
74,학생074,1,61,55,56,80,5,Yes,High,Yes,7
75,학생075,1,39,34,46,76,3,No,Low,No,7
76,학생076,1,46,50,48,84,5,Yes,High,Yes,8
77,학생077,3,71,56,68,81,6,No,Mid,Yes,6
78,학생078,1,11,36,22,66,2,No,Low,Yes,5
79,학생079,1,19,18,24,70,2,Yes,Mid,No,8
80,학생080,2,100,94,91,99,10,Yes,High,Yes,8
