bom_id,product_id,component_id,component_name,quantity_required,unit_of_measure,supplier_id,lead_time_days,cost_per_unit
BOM001,PROD001,COMP001,Engine Block,1,piece,SUP001,14,850.00
BOM001,PROD001,COMP002,Crankshaft,1,piece,SUP001,10,280.00
BOM001,PROD001,COMP003,Piston Set,8,set,SUP002,7,45.00
BOM001,PROD001,COMP004,Valve Assembly,16,piece,SUP002,5,22.00
BOM002,PROD002,COMP005,Transmission Case,1,piece,SUP003,12,450.00
BOM002,PROD002,COMP006,Gear Set,1,set,SUP004,8,380.00
BOM002,PROD002,COMP007,Bearing Pack,6,piece,SUP004,5,35.00
BOM003,PROD003,COMP008,Sensor Chip,1,piece,SUP005,21,18.00
BOM003,PROD003,COMP009,PCB Board,1,piece,SUP005,14,8.50
BOM003,PROD003,COMP010,Housing,1,piece,SUP006,7,5.00
BOM004,PROD004,COMP011,Steel Sheet,2,sqm,SUP007,5,45.00
BOM004,PROD004,COMP012,Fastener Kit,1,set,SUP008,3,12.00
BOM005,PROD005,COMP013,Copper Wire,50,meter,SUP009,7,1.50
BOM005,PROD005,COMP014,Connector Set,24,piece,SUP010,5,2.50
BOM006,PROD006,COMP015,Steel Billet,1,piece,SUP011,10,120.00
BOM007,PROD007,COMP016,ABS Resin,1.5,kg,SUP012,5,8.00
BOM008,PROD008,COMP017,Base Primer,0.5,liter,SUP013,3,25.00
BOM008,PROD008,COMP018,Metallic Paint,1.0,liter,SUP013,3,85.00
BOM009,PROD009,COMP019,Nylon Pellets,0.2,kg,SUP012,5,15.00
BOM010,PROD010,COMP020,Steel Strip,0.5,meter,SUP007,3,4.50
