grade_id,enrollment_id,assignment_type,assignment_name,points_earned,points_possible,weight,submitted_date,graded_date
GRD001,ENR001,midterm,Midterm Exam,88,100,0.25,2021-10-15,2021-10-18
GRD002,ENR001,final,Final Exam,95,100,0.35,2021-12-10,2021-12-15
GRD003,ENR001,homework,Programming Assignments,280,300,0.25,2021-12-05,2021-12-08
GRD004,ENR001,project,Final Project,92,100,0.15,2021-12-08,2021-12-12
GRD005,ENR002,midterm,Midterm Exam,85,100,0.30,2022-03-10,2022-03-14
GRD006,ENR002,final,Final Exam,92,100,0.40,2022-05-05,2022-05-10
GRD007,ENR002,lab,Lab Exercises,145,150,0.30,2022-05-01,2022-05-03
GRD008,ENR003,midterm,Midterm Exam,82,100,0.25,2023-10-12,2023-10-16
GRD009,ENR003,final,Final Exam,88,100,0.35,2023-12-08,2023-12-13
GRD010,ENR003,project,ML Project,90,100,0.40,2023-12-05,2023-12-10
GRD011,ENR004,midterm,Midterm Exam,94,100,0.30,2020-10-14,2020-10-18
GRD012,ENR004,final,Final Exam,98,100,0.40,2020-12-09,2020-12-14
GRD013,ENR004,case_study,Marketing Case Studies,95,100,0.30,2020-12-01,2020-12-05
GRD014,ENR007,midterm,Midterm Exam,78,100,0.30,2022-10-13,2022-10-17
GRD015,ENR007,final,Final Exam,85,100,0.40,2022-12-07,2022-12-12
GRD016,ENR007,lab,Lab Reports,88,100,0.30,2022-12-01,2022-12-05
GRD017,ENR013,midterm,Midterm Exam,92,100,0.30,2022-10-14,2022-10-18
GRD018,ENR013,final,Final Exam,96,100,0.40,2022-12-08,2022-12-13
GRD019,ENR013,lab,Physics Labs,95,100,0.30,2022-12-02,2022-12-06
GRD020,ENR017,midterm,Midterm Exam,95,100,0.30,2020-10-12,2020-10-16
