maintenance_id,aircraft_reg,aircraft_type,airline,maintenance_type,scheduled_date,actual_start,actual_end,mechanic_id,supervisor_id,work_order_no,findings,parts_replaced,labor_hours,parts_cost_usd,status,next_scheduled_maintenance,hangar_bay
MNT001,HL7461,B777-300ER,KE,LINE_CHECK,2024-01-14,2024-01-14 02:00:00,2024-01-14 06:00:00,EMP019,EMP018,WO-2024-0001,Normal wear on brake pads,BRAKE_PADS_4,4.0,2500,COMPLETED,2024-01-21,BAY_A1
MNT002,HL7462,B777-300ER,KE,A_CHECK,2024-01-10,2024-01-10 08:00:00,2024-01-12 18:00:00,EMP020,EMP018,WO-2024-0002,Minor hydraulic leak fixed,HYDRAULIC_SEAL_2;FILTER_1,58.0,8500,COMPLETED,2024-02-10,BAY_A2
MNT003,HL7625,A380-800,KE,TRANSIT_CHECK,2024-01-15,2024-01-15 04:30:00,2024-01-15 07:00:00,EMP019,EMP018,WO-2024-0003,No issues found,,2.5,0,COMPLETED,2024-01-16,APRON_12
MNT004,HL7626,A380-800,KE,LINE_CHECK,2024-01-16,2024-01-16 03:00:00,2024-01-16 07:00:00,EMP021,EMP018,WO-2024-0004,APU starter motor replaced,APU_STARTER_1,4.0,15000,COMPLETED,2024-01-23,BAY_A3
MNT005,HL7530,B787-9,KE,TRANSIT_CHECK,2024-01-15,2024-01-15 01:00:00,2024-01-15 03:30:00,EMP020,EMP018,WO-2024-0005,Tire pressure adjusted,,2.5,0,COMPLETED,2024-01-16,APRON_05
MNT006,HL7531,B787-9,KE,C_CHECK,2024-01-05,2024-01-05 00:00:00,2024-01-15 00:00:00,EMP019,EMP017,WO-2024-0006,Landing gear overhaul;Engine inspection,LANDING_GEAR_SEAL_8;ENGINE_FILTER_4,240.0,125000,COMPLETED,2024-07-05,BAY_B1
MNT007,HL7713,A330-300,KE,LINE_CHECK,2024-01-17,2024-01-17 05:00:00,2024-01-17 08:00:00,EMP022,EMP018,WO-2024-0007,Cabin pressure sensor calibrated,PRESSURE_SENSOR_1,3.0,3500,COMPLETED,2024-01-24,BAY_A4
MNT008,HL7714,A330-300,KE,TRANSIT_CHECK,2024-01-18,2024-01-18 02:00:00,2024-01-18 04:00:00,EMP021,EMP018,WO-2024-0008,No issues found,,2.0,0,COMPLETED,2024-01-19,APRON_08
MNT009,HL8001,B777-200,OZ,LINE_CHECK,2024-01-15,2024-01-15 03:00:00,2024-01-15 06:30:00,EMP020,EMP018,WO-2024-0009,Navigation system software update,NAV_SOFTWARE_LICENSE,3.5,2000,COMPLETED,2024-01-22,BAY_B2
MNT010,HL8002,B777-200,OZ,A_CHECK,2024-01-12,2024-01-12 10:00:00,2024-01-14 16:00:00,EMP019,EMP018,WO-2024-0010,Engine oil filter replaced;Fuel pump inspection,OIL_FILTER_2;FUEL_PUMP_SEAL_4,54.0,7800,COMPLETED,2024-02-12,BAY_B3
MNT011,HL8211,B787-9,OZ,TRANSIT_CHECK,2024-01-16,2024-01-16 01:00:00,2024-01-16 03:00:00,EMP022,EMP018,WO-2024-0011,Flight data recorder test passed,,2.0,0,COMPLETED,2024-01-17,APRON_15
MNT012,HL8212,B787-9,OZ,LINE_CHECK,2024-01-17,2024-01-17 04:00:00,2024-01-17 08:00:00,EMP021,EMP018,WO-2024-0012,Window seal replaced,WINDOW_SEAL_1,4.0,800,COMPLETED,2024-01-24,BAY_B4
MNT013,HL8254,A330-300,OZ,TRANSIT_CHECK,2024-01-18,2024-01-18 05:00:00,2024-01-18 07:30:00,EMP020,EMP018,WO-2024-0013,Galley equipment inspection passed,,2.5,0,COMPLETED,2024-01-19,APRON_11
