review_id,reviewee,reviewer,review_period,performance_score,comments,review_date
REV001,EMP012,EMP007,2023-H2,4.2,백엔드 개발 역량 우수. 신규 앱 프로젝트 핵심 기여,2024-01-15
REV002,EMP013,EMP007,2023-H2,3.8,프론트엔드 기술 성장 중. 협업 능력 향상 필요,2024-01-15
REV003,EMP014,EMP007,2023-H2,4.5,데이터 분석 탁월. AI 프로젝트 리드 가능,2024-01-15
REV004,EMP011,EMP006,2023-H2,3.5,영업 실적 양호. 신규 고객 발굴 노력 필요,2024-01-20
REV005,EMP016,EMP006,2023-H2,4.0,마케팅 캠페인 성공적 수행. 창의성 우수,2024-01-20
REV006,EMP018,EMP012,2023-H2,3.2,인턴 기간 성실한 자세. 기술 학습 필요,2024-01-25
REV007,EMP015,EMP009,2023-H2,3.8,총무 업무 안정적 수행. 프로세스 개선 제안,2024-01-18
REV008,EMP017,EMP008,2023-H2,4.0,QA 프로세스 체계화 기여. 버그 탐지율 향상,2024-01-22
REV009,EMP019,EMP011,2023-H2,3.0,인턴 기준 보통. 적극성 향상 필요,2024-01-28
REV010,EMP020,EMP015,2024-H1,3.5,신입 인턴 적응 중. 문서 작업 정확성 양호,2024-04-10
