registration_no,aircraft_model,manufacturer,serial_number,operator_code,operator_name,manufacture_date,delivery_date,seat_config_f,seat_config_c,seat_config_y,total_seats,max_range_nm,cruise_speed_kts,engine_type,engine_count,mtow_kg,current_status,home_base,last_c_check,next_c_check
HL7461,B777-300ER,Boeing,37643,KE,Korean Air,2013-05-15,2013-06-20,8,42,261,311,7370,490,GE90-115B,2,351534,ACTIVE,ICN,2023-08-10,2024-08-10
HL7462,B777-300ER,Boeing,37644,KE,Korean Air,2013-07-22,2013-08-28,8,42,261,311,7370,490,GE90-115B,2,351534,ACTIVE,ICN,2023-09-15,2024-09-15
HL7463,B777-300ER,Boeing,37645,KE,Korean Air,2013-09-10,2013-10-15,8,42,261,311,7370,490,GE90-115B,2,351534,MAINTENANCE,ICN,2023-10-20,2024-10-20
HL7464,B777-300ER,Boeing,41993,KE,Korean Air,2015-03-18,2015-04-25,8,42,261,311,7370,490,GE90-115B,2,351534,ACTIVE,ICN,2023-11-05,2024-11-05
HL7465,B777-300ER,Boeing,41994,KE,Korean Air,2015-05-28,2015-07-02,8,42,261,311,7370,490,GE90-115B,2,351534,ACTIVE,ICN,2023-12-12,2024-12-12
HL7625,A380-800,Airbus,68,KE,Korean Air,2011-06-15,2011-07-28,12,94,301,407,8200,480,GP7270,4,575000,ACTIVE,ICN,2023-06-01,2024-06-01
HL7626,A380-800,Airbus,96,KE,Korean Air,2013-04-20,2013-05-30,12,94,301,407,8200,480,GP7270,4,575000,ACTIVE,ICN,2023-07-15,2024-07-15
HL7627,A380-800,Airbus,128,KE,Korean Air,2014-08-10,2014-09-22,12,94,301,407,8200,480,GP7270,4,575000,ACTIVE,ICN,2023-08-28,2024-08-28
HL7530,B787-9,Boeing,34812,KE,Korean Air,2017-02-15,2017-03-20,6,18,245,269,7635,488,GEnx-1B,2,254011,ACTIVE,ICN,2023-09-10,2024-09-10
HL7531,B787-9,Boeing,34813,KE,Korean Air,2017-04-22,2017-05-28,6,18,245,269,7635,488,GEnx-1B,2,254011,ACTIVE,ICN,2023-10-05,2024-10-05
HL7532,B787-9,Boeing,34814,KE,Korean Air,2017-07-08,2017-08-15,6,18,245,269,7635,488,GEnx-1B,2,254011,ACTIVE,ICN,2023-11-18,2024-11-18
HL7713,A330-300,Airbus,1578,KE,Korean Air,2015-06-12,2015-07-20,0,24,248,272,6350,470,CF6-80E1A4,2,242000,ACTIVE,ICN,2023-05-22,2024-05-22
HL7714,A330-300,Airbus,1602,KE,Korean Air,2015-09-05,2015-10-12,0,24,248,272,6350,470,CF6-80E1A4,2,242000,ACTIVE,ICN,2023-06-30,2024-06-30
HL7715,A330-300,Airbus,1635,KE,Korean Air,2016-01-18,2016-02-28,0,24,248,272,6350,470,CF6-80E1A4,2,242000,ACTIVE,ICN,2023-08-05,2024-08-05
HL8001,B777-200,Boeing,28366,OZ,Asiana Airlines,2006-03-15,2006-04-20,0,28,248,276,5240,490,PW4090,2,297550,ACTIVE,ICN,2023-04-12,2024-04-12
HL8002,B777-200,Boeing,28367,OZ,Asiana Airlines,2006-06-22,2006-07-28,0,28,248,276,5240,490,PW4090,2,297550,ACTIVE,ICN,2023-05-18,2024-05-18
HL8003,B777-200,Boeing,28368,OZ,Asiana Airlines,2006-09-10,2006-10-15,0,28,248,276,5240,490,PW4090,2,297550,ACTIVE,ICN,2023-06-25,2024-06-25
HL8211,B787-9,Boeing,38764,OZ,Asiana Airlines,2017-08-05,2017-09-10,0,28,244,272,7635,488,GEnx-1B,2,254011,ACTIVE,ICN,2023-07-08,2024-07-08
HL8212,B787-9,Boeing,38765,OZ,Asiana Airlines,2017-10-18,2017-11-25,0,28,244,272,7635,488,GEnx-1B,2,254011,ACTIVE,ICN,2023-08-15,2024-08-15
HL8213,B787-9,Boeing,38766,OZ,Asiana Airlines,2018-01-22,2018-02-28,0,28,244,272,7635,488,GEnx-1B,2,254011,MAINTENANCE,ICN,2023-09-20,2024-09-20
HL8254,A330-300,Airbus,1256,OZ,Asiana Airlines,2012-04-10,2012-05-18,0,30,242,272,6350,470,PW4168A,2,242000,ACTIVE,ICN,2023-10-12,2024-10-12
HL8255,A330-300,Airbus,1289,OZ,Asiana Airlines,2012-07-15,2012-08-22,0,30,242,272,6350,470,PW4168A,2,242000,ACTIVE,ICN,2023-11-25,2024-11-25
HL8256,A330-300,Airbus,1325,OZ,Asiana Airlines,2012-11-08,2012-12-15,0,30,242,272,6350,470,PW4168A,2,242000,ACTIVE,ICN,2023-12-10,2024-12-10
HL8301,A330-200,Airbus,845,OZ,Asiana Airlines,2008-03-20,2008-04-28,0,30,210,240,7250,470,CF6-80E1A3,2,233000,ACTIVE,ICN,2023-03-15,2024-03-15
HL8302,A330-200,Airbus,878,OZ,Asiana Airlines,2008-08-12,2008-09-18,0,30,210,240,7250,470,CF6-80E1A3,2,233000,ACTIVE,ICN,2023-04-20,2024-04-20
HL7781,B737-800,Boeing,40869,7C,Jeju Air,2012-05-15,2012-06-20,0,0,189,189,2935,453,CFM56-7B26,2,79016,ACTIVE,ICN,2023-11-08,2024-11-08
HL7782,B737-800,Boeing,40870,7C,Jeju Air,2012-08-22,2012-09-28,0,0,189,189,2935,453,CFM56-7B26,2,79016,ACTIVE,ICN,2023-12-15,2024-12-15
HL7783,B737-800,Boeing,40871,7C,Jeju Air,2012-11-10,2012-12-18,0,0,189,189,2935,453,CFM56-7B26,2,79016,ACTIVE,ICN,2024-01-05,2025-01-05
HL7784,B737-800,Boeing,44550,7C,Jeju Air,2015-03-05,2015-04-12,0,0,189,189,2935,453,CFM56-7B26,2,79016,ACTIVE,ICN,2023-10-22,2024-10-22
HL7785,B737-800,Boeing,44551,7C,Jeju Air,2015-06-18,2015-07-25,0,0,189,189,2935,453,CFM56-7B26,2,79016,ACTIVE,ICN,2023-09-18,2024-09-18
HL7786,B737-800,Boeing,44552,7C,Jeju Air,2015-09-08,2015-10-15,0,0,189,189,2935,453,CFM56-7B26,2,79016,MAINTENANCE,ICN,2023-08-12,2024-08-12
