id,order_id,customer_id,customer_name,origin_city,origin_country,destination_city,destination_country,carrier,shipping_method,weight_kg,volume_cbm,item_category,item_count,order_date,ship_date,delivery_date,delivery_days,status,tracking_number,warehouse_id,warehouse_name,cost_usd,insurance_value_usd,customs_fee_usd,is_fragile,is_hazardous,temperature_controlled,damage_reported,delay_reason
1,ORD-10001,C301,글로벌무역,Seoul,KR,Los_Angeles,US,DHL,Air,45.2,0.38,Electronics,12,2025-01-02,2025-01-03,2025-01-06,3,Delivered,TRK-AA10001,WH-ICN01,인천공항물류센터,1250.00,5000.00,320.00,Yes,No,No,No,
2,ORD-10002,C302,한진상사,Busan,KR,Shanghai,CN,Maersk,Sea,2800.0,14.50,Raw_Material,1,2025-01-03,2025-01-05,2025-01-12,7,Delivered,TRK-BB10002,WH-PUS01,부산항물류센터,3200.00,15000.00,850.00,No,No,No,No,
3,ORD-10003,C303,테크솔루션,Incheon,KR,Tokyo,JP,FedEx,Air,8.5,0.06,Electronics,3,2025-01-04,2025-01-04,2025-01-05,1,Delivered,TRK-CC10003,WH-ICN01,인천공항물류센터,380.00,2000.00,150.00,Yes,No,No,No,
4,ORD-10004,C304,농산물직거래,Gimpo,KR,Singapore,SG,Korean_Air_Cargo,Air,320.0,2.80,Food,50,2025-01-05,2025-01-06,2025-01-07,1,Delivered,TRK-DD10004,WH-GMP01,김포냉장물류센터,2800.00,8000.00,480.00,No,No,Yes,No,
5,ORD-10005,C305,현대부품,Ulsan,KR,Detroit,US,Evergreen,Sea,5400.0,28.00,Auto_Parts,200,2025-01-06,2025-01-08,2025-01-28,20,Delivered,TRK-EE10005,WH-ULS01,울산항물류센터,4500.00,25000.00,1200.00,No,No,No,No,
6,ORD-10006,C306,패션코리아,Seoul,KR,Paris,FR,DHL,Air,125.0,1.20,Textile,500,2025-01-07,2025-01-08,2025-01-11,3,Delivered,TRK-FF10006,WH-ICN01,인천공항물류센터,1850.00,12000.00,620.00,No,No,No,No,
7,ORD-10007,C307,삼성바이오,Incheon,KR,Frankfurt,DE,Lufthansa_Cargo,Air,22.0,0.15,Pharmaceutical,8,2025-01-08,2025-01-08,2025-01-10,2,Delivered,TRK-GG10007,WH-ICN02,인천바이오물류센터,2200.00,50000.00,380.00,Yes,No,Yes,No,
8,ORD-10008,C308,화학소재,Yeosu,KR,Houston,US,Hapag_Lloyd,Sea,8200.0,42.00,Chemical,5,2025-01-09,2025-01-12,2025-02-05,24,Delivered,TRK-HH10008,WH-YOS01,여수항물류센터,6800.00,35000.00,1800.00,No,Yes,No,No,
9,ORD-10009,C309,가구나라,Pocheon,KR,Vancouver,CA,Hyundai_Merchant,Sea,3200.0,32.00,Furniture,15,2025-01-10,2025-01-13,2025-02-01,19,Delivered,TRK-II10009,WH-PUS01,부산항물류센터,3800.00,18000.00,950.00,Yes,No,No,Yes,Weather_Delay
10,ORD-10010,C310,반도체코리아,Pyeongtaek,KR,Taipei,TW,China_Airlines_Cargo,Air,3.2,0.02,Semiconductor,100,2025-01-11,2025-01-11,2025-01-12,1,Delivered,TRK-JJ10010,WH-ICN01,인천공항물류센터,450.00,80000.00,200.00,Yes,No,Yes,No,
